Entity,Code,Year,Illiterate population (total),Literate population (total)
India,IND,2000,304000000,436000000
India,IND,2010,287000000,658000000
India,IND,2020,267000000,820000000
United States,USA,2000,4000000,212000000
United States,USA,2010,3500000,218000000
United States,USA,2020,3200000,224000000
Brazil,BRA,2000,15000000,130000000
Brazil,BRA,2010,12000000,145000000
Brazil,BRA,2020,10000000,160000000
China,CHN,2000,85000000,870000000
China,CHN,2010,48000000,980000000
China,CHN,2020,38000000,1020000000
Nigeria,NGA,2000,28000000,45000000
Nigeria,NGA,2010,38000000,62000000
Nigeria,NGA,2020,42000000,78000000
World,,2000,880000000,4200000000
World,,2010,775000000,5100000000
World,,2020,770000000,5700000000
